no post filtering
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  522.537581494         2            H70O2C35                 0.0      0:03:33.345000
  666.221858414         2      H191S8N6O3P2C2  -8.33519948173e-07      0:14:46.576000
  666.221858414         2           H42O21C24   -2.0008883439e-11      0:14:46.576000
  712.185078977        13          H425O7P4C4   8.08520007922e-06      0:27:07.326000
  712.185078977        13        H419N7O2P4C3   2.81853999695e-06      0:27:07.326000
  712.185078977        13      H185S8N6O1P2C9   -8.3355996594e-07      0:27:07.326000
  712.185078977        13     H177S1N3O15P4C8    9.7970000752e-06      0:27:07.326000
  712.185078977        13       H176S2O1P5C25  -9.75826003469e-06      0:27:07.326000
  712.185078977        13    H171S1N10O10P4C7   4.53034010661e-06      0:27:07.326000
  712.185078977        13     H165S1N17O5P4C6  -7.36319861971e-07      0:27:07.326000
  712.185078977        13       H159S1N24P4C5  -6.00297994424e-06      0:27:07.326000
  712.185078977        13       H70S10N1O17C3   2.75373997738e-06      0:27:07.326000
  712.185078977        13       H69S4N6O5P9C6   1.75060006313e-06      0:27:07.326000
  712.185078977        13      H66S1N1O19P8C4  -1.22446200521e-05      0:27:07.326000
  712.185078977        13       H64S10N8O12C2   -2.5129199912e-06      0:27:07.326000
  712.185078977        13        H64S7O3P4C21   7.82426002388e-06      0:27:07.326000
  712.185078977        13        H63S4N13P9C5  -3.51606001914e-06      0:27:07.326000
  712.185078977        13       H58S10N15O7C1  -7.77957995979e-06      0:27:07.326000
  712.185078977        13      H56S3N5O26P2C1   8.11764004993e-06      0:27:07.326000
  712.185078977        13     H55S4N2O12P3C18  -1.14376199463e-05      0:27:07.326000
  712.185078977        13       H50S3N12O21P2   2.85097996766e-06      0:27:07.326000
  712.185078977        13      H47S6N24O2P3C1   1.15795400006e-05      0:27:07.326000
  712.185078977        13       H44N11O7P6C18   7.92150001416e-06      0:27:07.326000
  712.185078977        13       H38N18O2P6C17   2.65483993189e-06      0:27:07.326000
  712.185078977        13           H36O19C31  -5.99129634793e-11      0:27:07.326000
  712.185078977        13       H33S3N12P1C32   8.72850000633e-06      0:27:07.326000
  712.185078977        13         H30N7O14C30  -5.26671999523e-06      0:27:07.326000
  712.185078977        13         H24N14O9C29  -1.05333799638e-05      0:27:07.326000
  702.361527201         4      H316S2N9O6P2C3   1.13900011911e-06      0:17:03.520000
  702.361527201         4      H214S5N5O1P7C2  -1.64073992437e-06      0:17:03.520000
  702.361527201         4      H88S10N1O10C10   2.75356001112e-06      0:17:03.520000
  702.361527201         4        H82S10N8O5C9  -2.51309995747e-06      0:17:03.520000
  702.361527201         4     H68S3N12O14P2C7   2.85080011508e-06      0:17:03.520000
  702.361527201         4      H62S3N19O9P2C6  -2.41585996719e-06      0:17:03.520000
  702.361527201         4           H54O12C38  -2.39879227593e-10      0:17:03.520000
  624.901032096         9      H150S8N6O3P2C2  -8.33259946376e-07      0:09:07.752000
  624.901032096         9      H136S1N10O12P4   4.53064001249e-06      0:09:07.752000
  624.901032096         9        H29S7O5P4C14   7.82455992976e-06      0:09:07.752000
  624.901032096         9        H23S7N7P4C13   2.55789996118e-06      0:09:07.752000
  624.901032096         9        H14S1N1P7C29  -6.36679999388e-06      0:09:07.752000
  624.901032096         9        H9N11O9P6C11   7.92179992004e-06      0:09:07.752000
  624.901032096         9        H3N18O4P6C10   2.65514006514e-06      0:09:07.752000
  624.901032096         9            H1O21C24    2.3999291443e-10      0:09:07.752000
  682.216773036        18       H293S2N2P1C22   1.22835000411e-05      0:15:02.518000
  682.216773036        18      H191S8N6O4P2C2  -8.33419903756e-07      0:15:02.518000
  682.216773036        18       H188S5N1O18P1  -1.48286399053e-05      0:15:02.518000
  682.216773036        18     H183S1N3O18P4C1   9.79714013738e-06      0:15:02.518000
  682.216773036        18       H182S2O4P5C18   -9.7581199725e-06      0:15:02.518000
  682.216773036        18      H177S1N10O13P4    4.5304801688e-06      0:15:02.518000
  682.216773036        18        H70S7O6P4C14   7.82440008606e-06      0:15:02.518000
  682.216773036        18      H64S7N7O1P4C13   2.55774000379e-06      0:15:02.518000
  682.216773036        18     H61S4N2O15P3C11  -1.14374799978e-05      0:15:02.518000
  682.216773036        18       H56N4O15P6C12   1.31883000449e-05      0:15:02.518000
  682.216773036        18     H55S4N9O10P3C10  -1.67041399664e-05      0:15:02.518000
  682.216773036        18      H55S1N1O1P7C29  -6.36695995127e-06      0:15:02.518000
  682.216773036        18      H50N11O10P6C11   7.92163996266e-06      0:15:02.518000
  682.216773036        18      H45S3N5O8P1C26   1.39953000371e-05      0:15:02.518000
  682.216773036        18       H44N18O5P6C10   2.65498010776e-06      0:15:02.518000
  682.216773036        18           H42O22C24    8.0035533756e-11      0:15:02.518000
  682.216773036        18     H39S3N12O3P1C25   8.72864006851e-06      0:15:02.518000
  682.216773036        18          H38N25P6C9  -2.61167997451e-06      0:15:02.518000
  682.216773036        18         H36N7O17C23  -5.26657993305e-06      0:15:02.518000
  682.216773036        18        H30N14O12C22  -1.05332399016e-05      0:15:02.518000
  682.216773036        18        H28S2N29O7C6   1.77505800139e-05      0:15:02.518000
  682.216773036        18         H24N21O7C21  -1.57998999839e-05      0:15:02.518000
  682.216773036        18        H22S2N36O2C5   1.24839200453e-05      0:15:02.518000
