no post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  522.537581494         2        P1S2N4H333C3   -0.00164687842005      0:00:13.317000
  522.537581494         2         O7N10H197C6    -0.0009077553201      0:00:13.317000
  522.537581494         2       O6P3S2N7H87C7  -0.000372012540083      0:00:13.317000
  522.537581494         2      O4P1S1N3H77C23   -0.00034131310008      0:00:13.317000
  522.537581494         2         O6S6N5H92C6  -0.000396638320126      0:00:13.317000
  522.537581494         2      O4P1S3N11H81C8  -0.000307762620082      0:00:13.317000
  522.537581494         2         O12N3H203C7  -0.000902488660131      0:00:13.317000
  522.537581494         2        O11P3S2H93C8  -0.000366745880001      0:00:13.317000
  666.221858414         2       O9P2N11H292C1   -0.00138034858014      0:00:53.053000
  666.221858414         2         O25P2H179C2  -0.000789084440044      0:00:53.053000
  666.221858414         2       P1S1N1H418C14   -0.00208877224009      0:00:53.053000
  666.221858414         2      O8P2S1N25H34C5  -4.64994400318e-05      0:00:53.053000
  666.221858414         2     O15P1S2N4H47C19  -0.000163658960105      0:00:53.053000
  666.221858414         2      O8P5S2N8H182C2  -0.000844605800012      0:00:53.053000
  666.221858414         2       O7P8S4N5H72C3  -0.000308863019995      0:00:53.053000
  666.221858414         2       O1S7N17H175C1  -0.000810248320136      0:00:53.053000
  666.221858414         2        O17S7N6H62C2  -0.000218984180037      0:00:53.053000
  666.221858414         2        P3S9N14H65C2  -0.000274505540119      0:00:53.053000
  666.221858414         2         O6N21H24C21  -1.58000000283e-05      0:00:53.053000
  666.221858414         2       O15P4N14H46C5  -0.000105482700064      0:00:53.053000
  666.221858414         2     O6P3S1N4H172C18  -0.000813906360008      0:00:53.053000
  666.221858414         2      O5P6S3N1H62C19  -0.000278163579992      0:00:53.053000
  666.221858414         2      O8P2S6N6H187C1  -0.000869231580054      0:00:53.053000
  666.221858414         2       O7P5S8N3H77C2  -0.000333488800152      0:00:53.053000
  666.221858414         2         S13N12H70C1  -0.000299131320162      0:00:53.053000
  666.221858414         2         O4P1H162C34  -0.000783206920005      0:00:53.053000
  666.221858414         2      O5P9S1N11H61C5  -0.000219987320065      0:00:53.053000
  666.221858414         2     O15P1S4N12H51C4  -0.000130108480107      0:00:53.053000
  666.221858414         2       O6S5N2H177C17  -0.000838532140051      0:00:53.053000
  666.221858414         2      O7P2S12N1H82C1  -0.000358114580081      0:00:53.053000
  666.221858414         2        O3P7N7H51C21  -0.000189287880062      0:00:53.053000
  666.221858414         2         O12P11H73C5  -0.000278970580098      0:00:53.053000
  666.221858414         2       O7S1N15H286C2   -0.00131609866003      0:00:53.053000
  666.221858414         2       O23S1N4H173C3  -0.000724834520042      0:00:53.053000
  666.221858414         2        O6S2N29H28C6   1.77504799694e-05      0:00:53.053000
  666.221858414         2     O6P3S3N12H176C3  -0.000780355880011      0:00:53.053000
  666.221858414         2      O22P3S3N1H63C4  -0.000189091740026      0:00:53.053000
  666.221858414         2       O5P6S5N9H66C4  -0.000244613099994      0:00:53.053000
  666.221858414         2       O14P2N4H298C2   -0.00137508192006      0:00:53.053000
  666.221858414         2     O13P2S1N18H40C6  -4.12327800632e-05      0:00:53.053000
  666.221858414         2     O4P1S2N8H166C19  -0.000749656440121      0:00:53.053000
  666.221858414         2     O13P5S2N1H188C3  -0.000839339140043      0:00:53.053000
  666.221858414         2      O3P4S4N5H56C20  -0.000213913659991      0:00:53.053000
  666.221858414         2       O6S7N10H181C2  -0.000804981660053      0:00:53.053000
  666.221858414         2       O5P3S9N7H71C3  -0.000269238880037      0:00:53.053000
  666.221858414         2        O11N14H30C22  -1.05333400597e-05      0:00:53.053000
  666.221858414         2       O4P4N18H165C5   -0.00069148018008      0:00:53.053000
  666.221858414         2        O20P4N7H52C6  -0.000100216039982      0:00:53.053000
  666.221858414         2      O4P7S1N1H313C2   -0.00148958653995      0:00:53.053000
  666.221858414         2      O3P7S2N15H55C6  -0.000155737400064      0:00:53.053000
  666.221858414         2      O1P2S3N1H46C36  -0.000183214220101      0:00:53.053000
