with post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  666.221858414         2        O11N14H30C22  -1.05333400597e-05      0:00:36.706000
  666.221858414         2        O8S1N8H34C30   0.000172387480006      0:00:36.706000
  666.221858414         2      O8P1S1N24H31C9  -0.000357113100108      0:00:36.706000
  666.221858414         2        O5S2N2H38C38   0.000355308299959      0:00:36.706000
  666.221858414         2     O5P1S2N18H35C17  -0.000174192280042      0:00:36.706000
  666.221858414         2     O2P1S3N12H39C25   8.72853991041e-06      0:00:36.706000
  666.221858414         2        O4P5N2H47C31    0.00053215545995      0:00:36.706000
  666.221858414         2         S2N24H26C20  -0.000490072600087      0:00:36.706000
  666.221858414         2         O16S2H46C25   0.000868398039984      0:00:36.706000
  666.221858414         2       O11S2N22H34C7    2.3017139938e-05      0:00:36.706000
  666.221858414         2       O8S3N16H38C15   0.000205937960004      0:00:36.706000
  666.221858414         2       O5S4N10H42C23   0.000388858779843      0:00:36.706000
  666.221858414         2        O2S5N4H46C31   0.000571779599909      0:00:36.706000
  666.221858414         2       O10P4N6H46C21   0.000729364880044      0:00:36.706000
  666.221858414         2        O7P4S1H50C29   0.000912285699997      0:00:36.706000
  666.221858414         2       O5P3N12H37C24   0.000413484559886      0:00:36.706000
  666.221858414         2      O2P3S1N6H41C32   0.000596405379952      0:00:36.706000
  666.221858414         2         P2N18H28C27   9.76042399543e-05      0:00:36.706000
  666.221858414         2         O11P1H39C35    0.00114019455998      0:00:36.706000
  666.221858414         2      O11P2N16H36C14   0.000610693979979      0:00:36.706000
  666.221858414         2     O8P2S1N10H40C22   0.000793614799932      0:00:36.706000
  666.221858414         2       O6P1N22H27C17   0.000294813659934      0:00:36.706000
  666.221858414         2     O3P1S1N16H31C25       0.00047773448      0:00:36.706000
  666.221858414         2       P1S2N10H35C33   0.000660655299953      0:00:36.706000
  666.221858414         2         O17N4H38C25    0.00133740397996      0:00:36.706000
  666.221858414         2    O14P1S1N14H39C12   0.000990824219912      0:00:36.706000
  666.221858414         2     O11P1S2N8H43C20    0.00117374503998      0:00:36.706000
  666.221858414         2      O8P1S3N2H47C28    0.00135666585993      0:00:36.706000
  666.221858414         2       O9S1N20H30C15    0.00067494389998      0:00:36.706000
  666.221858414         2       O6S2N14H34C23   0.000857864719933      0:00:36.706000
  666.221858414         2        O3S3N8H38C31       0.00104078554      0:00:36.706000
  666.221858414         2     O3P1S3N24H35C10   0.000511284959885      0:00:36.706000
  666.221858414         2          S4N2H42C39    0.00122370635995      0:00:36.706000
  666.221858414         2       P1S4N18H39C18   0.000694205779951      0:00:36.706000
  666.221858414         2      O2P5S1N8H47C24    0.00121763269999      0:00:36.706000
  666.221858414         2         O11S4H50C26    0.00173679609998      0:00:36.706000
  666.221858414         2        O6S4N22H38C8   0.000891415199931      0:00:36.706000
  666.221858414         2       O3S5N16H42C16    0.00107433601988      0:00:36.706000
  666.221858414         2         S6N10H46C24    0.00125725683995      0:00:36.706000
  666.221858414         2       O11P3N2H45C27    0.00176142188002      0:00:36.706000
  666.221858414         2        O6P2N8H36C30    0.00144554155997      0:00:36.706000
  666.221858414         2        O6P3N24H33C9   0.000916040979973      0:00:36.706000
  666.221858414         2      O3P2S1N2H40C38    0.00162846237993      0:00:36.706000
  666.221858414         2     O3P3S1N18H37C17    0.00109896179993      0:00:36.706000
  666.221858414         2       O14P2S1H48C25    0.00214155211995      0:00:36.706000
  666.221858414         2      O12P1N12H35C20    0.00164275097995      0:00:36.706000
  666.221858414         2      O9P1S1N6H39C28    0.00182567179991      0:00:36.706000
  666.221858414         2      O9P2S1N22H36C7    0.00129617121991      0:00:36.706000
  666.221858414         2        O6P1S2H43C36    0.00200859261986      0:00:36.706000
  666.221858414         2         O7N18H26C23    0.00132687066002      0:00:36.706000
  666.221858414         2          O5P6H52C29    0.00218543977996      0:00:36.706000
  666.221858414         2     O1P1S2N22H31C18    0.00116321172004      0:00:36.706000
  666.221858414         2        O18N16H34C10    0.00183996039993      0:00:36.706000
  666.221858414         2          P5N6H43C32    0.00186955945992      0:00:36.706000
  666.221858414         2      O15S1N10H38C18       0.00202288122      0:00:36.706000
  666.221858414         2       O12S2N4H42C26    0.00220580203995      0:00:36.706000
  666.221858414         2      O6P1S4N8H47C21    0.00204214309997      0:00:36.706000
  666.221858414         2      O3P1S5N2H51C29    0.00222506391992      0:00:36.706000
  666.221858414         2       O4S3N20H34C16    0.00154334195997      0:00:36.706000
  666.221858414         2       O1S4N14H38C24    0.00172626278004      0:00:36.706000
  666.221858414         2       O6P4N10H42C22    0.00206676888001      0:00:36.706000
  666.221858414         2      O3P4S1N4H46C30    0.00224968969997      0:00:36.706000
  666.221858414         2          O6S6H54C27    0.00260519415997      0:00:36.706000
  712.185078977        13       O19P2N2H42C23   0.000621227260012      0:00:52.231000
  712.185078977        13       P2S1N20H26C26  -0.000554322559879      0:00:52.231000
  712.185078977        13       O14P1N8H33C26   0.000305346940081      0:00:52.231000
  712.185078977        13     O11P1S1N2H37C34   0.000488267760034      0:00:52.231000
  712.185078977        13    O11P2S1N18H34C13  -4.12328199673e-05      0:00:52.231000
  712.185078977        13     O6P1S1N24H25C16  -0.000357113140012      0:00:52.231000
  712.185078977        13     O3P1S2N18H29C24   -0.00017419232006      0:00:52.231000
  712.185078977        13        O1P7S2H55C30   0.000684376799995      0:00:52.231000
  712.185078977        13       P1S3N12H33C32   8.72850000633e-06      0:00:52.231000
  712.185078977        13        O20N12H32C16   0.000502556360061      0:00:52.231000
  712.185078977        13        O2P5N2H41C38   0.000532155420046      0:00:52.231000
  712.185078977        13       O17S1N6H36C24   0.000685477180127      0:00:52.231000
  712.185078977        13         O14S2H40C32   0.000868397999966      0:00:52.231000
  712.185078977        13    O14P1S2N16H37C11   0.000338897420079      0:00:52.231000
  712.185078977        13    O11P1S3N10H41C19   0.000521818240031      0:00:52.231000
  712.185078977        13      O8P1S4N4H45C27   0.000704739059984      0:00:52.231000
  712.185078977        13         O13P5H49C25    0.00104524515996      0:00:52.231000
  712.185078977        13       O9S2N22H28C14   2.30171000339e-05      0:00:52.231000
  712.185078977        13       O6S3N16H32C22   0.000205937919986      0:00:52.231000
  712.185078977        13       O3S4N10H36C30   0.000388858739939      0:00:52.231000
  712.185078977        13          S5N4H40C38   0.000571779560005      0:00:52.231000
  712.185078977        13       P1S5N20H37C17   4.22789800041e-05      0:00:52.231000
  712.185078977        13        O8P4N6H40C28   0.000729364840026      0:00:52.231000
  712.185078977        13        O5P4S1H44C36   0.000912285660092      0:00:52.231000
  712.185078977        13       O11S5N2H48C25    0.00108486929992      0:00:52.231000
  712.185078977        13        O2P1S8H57C28       0.00110413118      0:00:52.231000
  712.185078977        13       O3P3N12H31C31   0.000413484519981      0:00:52.231000
  712.185078977        13        O6S5N24H36C7   0.000239488399984      0:00:52.231000
  712.185078977        13       O3S6N18H40C15   0.000422409219937      0:00:52.231000
  712.185078977        13         S7N12H44C23   0.000605330040003      0:00:52.231000
  712.185078977        13      O14P3N10H39C18   0.000926574260006      0:00:52.231000
  712.185078977        13     O11P3S1N4H43C26    0.00110949507996      0:00:52.231000
  712.185078977        13       O9P2N16H30C21   0.000610693939961      0:00:52.231000
  712.185078977        13     O6P2S1N10H34C29   0.000793614760028      0:00:52.231000
  712.185078977        13     O17P2S1N8H42C16    0.00130670450005      0:00:52.231000
  712.185078977        13         O15N4H32C32    0.00133740394006      0:00:52.231000
  712.185078977        13      O15P1N20H29C11   0.000807903360055      0:00:52.231000
