no post filtering
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  28.0313001286         1                H4C2  -4.00035560233e-11      0:00:00.003000
   204.08987764        16          H12N2O2C11   3.59989371645e-10      0:00:01.933000
  147.053157783        16            H9N1O4C5  -9.99875737762e-11      0:00:00.439000
  133.037507719        14            H7N1O4C4  -3.79998255085e-10      0:00:00.260000
  92.0473441234         2              H8O3C3    2.0008883439e-11      0:00:00.056000
  376.138284396         9          H20N4O6C17   3.59989371645e-10      0:00:39.926000
  376.138284396         9         H14N11O1C16  -5.26630003606e-06      0:00:39.926000
  194.080375587        10           H10N4O2C8  -4.39996483692e-10      0:00:01.369000
  100.782503214        11                H100                 0.0      0:00:00.080000
  25.0078250321        16                H1C2   4.00000033096e-11      0:00:00.001000
