with post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  28.0313001286         1                H4C2  -4.00035560233e-11      0:00:00.711000
   204.08987764        16          O2N2H12C11   3.59989371645e-10      0:00:01.033000
   204.08987764        16           S1N8H12C4   0.000685477600001      0:00:01.033000
   204.08987764        16           O3P1H17C9       0.00165328468      0:00:01.033000
  147.053157783        16            O4N1H9C5  -9.99875737762e-11      0:00:00.642000
  133.037507719        14            O4N1H7C4  -3.79969833375e-10      0:00:00.618000
  376.138284396         9          O6N4H20C17   3.59989371645e-10      0:00:04.750000
  376.138284396         9      O3P1S1N14H21C4  -0.000346579400002      0:00:04.750000
  376.138284396         9        P1S2N8H25C12   -0.00016365858005      0:00:04.750000
  376.138284396         9            S4H32C18   0.000399392479949      0:00:04.750000
  376.138284396         9          P3N2H27C19   0.000424018259991      0:00:04.750000
  376.138284396         9         O6P2N6H26C9   0.000621227679972      0:00:04.750000
  376.138284396         9        O3P2S1H30C17   0.000804148499981      0:00:04.750000
  376.138284396         9       O1P1N12H17C12   0.000305347359983      0:00:04.750000
  376.138284396         9       O4S1N10H20C10   0.000685477599973      0:00:04.750000
  376.138284396         9        O1S2N4H24C18   0.000868398419982      0:00:04.750000
  376.138284396         9        O1P3N14H23C4   0.000926574679966      0:00:04.750000
  376.138284396         9        O7P1N2H25C15    0.00165328467995      0:00:04.750000
  194.080375587        10           O2N4H10C8  -4.39996483692e-10      0:00:00.903000
  194.080375587        10         O3P1N2H15C6    0.00165328388002      0:00:00.903000
