no post filtering 
      mass     tolerance(ppm)      formula            mass delta       time elapsed 
  43.9898292442        12                O2C1   -7.1054273576e-15      0:00:00.441000
  28.0313001286         8                H4C2  -4.00035560233e-11      0:00:00.425000
  92.0473441234         7              O3H8C3    2.0008883439e-11      0:00:00.438000
  147.053157783         1            O4N1H9C5  -9.99875737762e-11      0:00:00.506000
  147.053157783         1         O4P1N2H12C1   0.000310613560004      0:00:00.506000
  147.053157783         1             O2S3H19    0.00155914186001      0:00:00.506000
  147.053157783         1              N5H5C6    0.00133740390001      0:00:00.506000
  133.037507719         7            O4N1H7C4  -3.79969833375e-10      0:00:00.494000
  133.037507719         7           O4P1N2H10   0.000310613280021      0:00:00.494000
  133.037507719         7              N5H3C5       0.00133740362      0:00:00.494000
   204.08987764         6         O1P2S2H26C3   0.000152221739995      0:00:00.704000
   204.08987764         6          O2N2H12C11   3.59989371645e-10      0:00:00.704000
   204.08987764         6         O2P1N3H15C7   0.000310614020009      0:00:00.704000
   204.08987764         6         O5S1N1H18C5   0.000690744259998      0:00:00.704000
   204.08987764         6         O2P2N4H18C3       0.00062122768      0:00:00.704000
   204.08987764         6            N2H139C3    0.00394983793998      0:00:00.704000
   204.08987764         6       O5P1S1N2H21C1    0.00100135791999      0:00:00.704000
   204.08987764         6           S1N8H12C4   0.000685477600001      0:00:00.704000
   204.08987764         6           P1S1N9H15   0.000996091259992      0:00:00.704000
   204.08987764         6           S3N1H22C6    0.00155914231999      0:00:00.704000
   204.08987764         6           O3P1H17C9       0.00165328468      0:00:00.704000
   342.11621155        10          P1N3H17C21  -0.000202475899982      0:00:02.634000
   342.11621155        10            P2N19H14  -0.000731976479983      0:00:02.634000
   342.11621155        10         O8S3N2H30C5   0.000216471479973      0:00:02.634000
   342.11621155        10         O2P1S5N6H35   5.28125399342e-05      0:00:02.634000
   342.11621155        10        O11P1N1H25C8   0.000310613840043      0:00:02.634000
   342.11621155        10          O2P4N2H157    0.00334179866002      0:00:02.634000
   342.11621155        10        P1S1N5H148C5       0.00309543492      0:00:02.634000
   342.11621155        10       O5P2S2N5H30C3   0.000146954899947      0:00:02.634000
   342.11621155        10          O6N7H16C11  -5.26648000232e-06      0:00:02.634000
   342.11621155        10        O3S1N1H20C19   0.000177654340007      0:00:02.634000
   342.11621155        10       O2P4S1N8H30C1   7.74383199769e-05      0:00:02.634000
   342.11621155        10        P1S2N11H21C6  -0.000168925419985      0:00:02.634000
   342.11621155        10              P2H278       0.00667040892      0:00:02.634000
   342.11621155        10          P2N4H20C17    0.00010813775998      0:00:02.634000
   342.11621155        10        O3S2N3H151C3    0.00347556515999      0:00:02.634000
   342.11621155        10       O8P1S3N3H33C1   0.000527085139993      0:00:02.634000
   342.11621155        10        O11P2N2H28C4   0.000621227500005      0:00:02.634000
   342.11621155        10        P2S1N6H151C1    0.00340604858002      0:00:02.634000
   342.11621155        10         O3S3N9H24C4   0.000211204820005      0:00:02.634000
   342.11621155        10         O2P3S3H37C7   0.000640489379975      0:00:02.634000
   342.11621155        10          S4N3H28C12   0.000394125640014      0:00:02.634000
   342.11621155        10         O6P1N8H19C7   0.000305347180017      0:00:02.634000
   342.11621155        10      O3P1S1N2H23C15   0.000488268000026      0:00:02.634000
   342.11621155        10           O1P8S1H46   0.000817336540024      0:00:02.634000
   342.11621155        10        P2S2N12H24C2   0.000141688239978      0:00:02.634000
   342.11621155        10         O1N14H10C10  -1.05331399709e-05      0:00:02.634000
   342.11621155        10            O9H149C4    0.00394983775999      0:00:02.634000
   342.11621155        10          P3N5H23C13       0.00041875142      0:00:02.634000
   342.11621155        10        O14P1S1H31C2    0.00100135773999      0:00:02.634000
   342.11621155        10          O11P3N3H31   0.000931841160025      0:00:02.634000
   342.11621155        10         O9S1N6H22C5   0.000685477420006      0:00:02.634000
